Godot Engine v4.6.2.stable.official.71f334935 - https://godotengine.org

runtime_mountain_raster_walk_probe: start density=0.60
runtime_mountain_raster_walk_probe: route_size=7
STREAMING_STEP_TIMING total=15.81ms {"drain_packets":0.016,"drain_pages":0.009,"enqueue":0.826,"evict":0.327,"player_chunk":0.027,"prune":0.249,"publish":14.182,"queue_pages":0.146,"spawn":0.004,"wrap":0.018}
STREAMING_STEP_TIMING total=8.36ms {"drain_packets":0.011,"drain_pages":0.006,"enqueue":1.086,"evict":0.202,"player_chunk":0.029,"prune":0.321,"publish":6.556,"queue_pages":0.122,"spawn":0.004,"wrap":0.019}
STREAMING_STEP_TIMING total=13.00ms {"drain_packets":0.006,"drain_pages":0.005,"enqueue":0.47,"evict":0.199,"player_chunk":0.014,"prune":0.187,"publish":12.002,"queue_pages":0.103,"spawn":0.002,"wrap":0.009}
STREAMING_STEP_TIMING total=8.85ms {"drain_packets":0.01,"drain_pages":0.006,"enqueue":0.733,"evict":0.216,"player_chunk":0.021,"prune":0.3,"publish":7.386,"queue_pages":0.168,"spawn":0.002,"wrap":0.009}
[FrameBudget] streaming=5.6ms topology=0.0ms visual=0.0ms spawn=0.0ms total=5.6ms/6.0ms world.streaming_v0=5.6ms(60)
STREAMING_STEP_TIMING total=12.82ms {"drain_packets":0.007,"drain_pages":0.005,"enqueue":0.481,"evict":0.201,"player_chunk":0.019,"prune":0.184,"publish":11.793,"queue_pages":0.115,"spawn":0.003,"wrap":0.012}
STREAMING_STEP_TIMING total=6.24ms {"drain_packets":0.008,"drain_pages":0.005,"enqueue":0.496,"evict":0.214,"player_chunk":0.017,"prune":0.185,"publish":5.182,"queue_pages":0.122,"spawn":0.002,"wrap":0.008}
STREAMING_STEP_TIMING total=11.52ms {"drain_packets":0.006,"drain_pages":0.004,"enqueue":0.486,"evict":0.214,"player_chunk":0.015,"prune":0.179,"publish":10.494,"queue_pages":0.106,"spawn":0.002,"wrap":0.009}
STREAMING_STEP_TIMING total=7.60ms {"drain_packets":0.008,"drain_pages":0.005,"enqueue":0.496,"evict":0.219,"player_chunk":0.016,"prune":0.177,"publish":6.542,"queue_pages":0.121,"spawn":0.002,"wrap":0.009}
STREAMING_STEP_TIMING total=13.28ms {"drain_packets":0.008,"drain_pages":0.006,"enqueue":0.483,"evict":0.216,"player_chunk":0.015,"prune":0.206,"publish":12.233,"queue_pages":0.103,"spawn":0.002,"wrap":0.008}
STREAMING_STEP_TIMING total=9.12ms {"drain_packets":0.007,"drain_pages":0.005,"enqueue":0.479,"evict":0.227,"player_chunk":0.019,"prune":0.171,"publish":8.08,"queue_pages":0.118,"spawn":0.002,"wrap":0.009}
STREAMING_STEP_TIMING total=14.89ms {"drain_packets":0.007,"drain_pages":0.005,"enqueue":0.505,"evict":0.224,"player_chunk":0.013,"prune":0.183,"publish":13.83,"queue_pages":0.109,"spawn":0.002,"wrap":0.007}
STREAMING_STEP_TIMING total=6.81ms {"drain_packets":0.007,"drain_pages":0.004,"enqueue":0.492,"evict":0.243,"player_chunk":0.015,"prune":0.166,"publish":5.754,"queue_pages":0.118,"spawn":0.002,"wrap":0.006}
STREAMING_STEP_TIMING total=13.88ms {"drain_packets":0.007,"drain_pages":0.004,"enqueue":0.498,"evict":0.266,"player_chunk":0.015,"prune":0.17,"publish":12.753,"queue_pages":0.154,"spawn":0.002,"wrap":0.009}
STREAMING_STEP_TIMING total=7.54ms {"drain_packets":0.008,"drain_pages":0.005,"enqueue":0.477,"evict":0.234,"player_chunk":0.02,"prune":0.166,"publish":6.5,"queue_pages":0.117,"spawn":0.002,"wrap":0.01}
STREAMING_STEP_TIMING total=14.05ms {"drain_packets":0.005,"drain_pages":0.004,"enqueue":0.535,"evict":0.234,"player_chunk":0.012,"prune":0.164,"publish":12.987,"queue_pages":0.103,"spawn":0.001,"wrap":0.008}
STREAMING_STEP_TIMING total=7.71ms {"drain_packets":0.017,"drain_pages":0.005,"enqueue":0.486,"evict":0.243,"player_chunk":0.017,"prune":0.167,"publish":6.641,"queue_pages":0.122,"spawn":0.001,"wrap":0.009}
STREAMING_STEP_TIMING total=13.92ms {"drain_packets":0.006,"drain_pages":0.004,"enqueue":0.509,"evict":0.232,"player_chunk":0.015,"prune":0.156,"publish":12.887,"queue_pages":0.1,"spawn":0.002,"wrap":0.008}
